TIME,X,Y,Z
14:25:56.84,-0.08959961,-0.03491211,1.22753906
14:25:56.98,-0.08447266,-0.03515625,1.21875
14:25:57.13,-0.08666993,-0.04077148,1.22631835
14:25:57.26,-0.08276368,-0.04370117,1.22485351
14:25:57.40,-0.0822754,-0.03662109,1.22070312
14:25:57.54,-0.08886719,-0.03515625,1.22485351
14:25:57.69,-0.08422852,-0.0336914,1.23535156
14:25:57.83,-0.07861328,-0.03930664,1.22729492
14:25:57.98,-0.08081055,-0.03540039,1.22143554
14:25:58.12,-0.0859375,-0.03491211,1.22436523
14:25:58.26,-0.0834961,-0.04516602,1.22094726
14:25:58.39,-0.08325196,-0.04003906,1.2224121
14:25:58.54,-0.0793457,-0.04321289,1.22924804
14:25:58.68,-0.08374024,-0.03759765,1.21582031
14:25:58.82,-0.08422852,-0.04101562,1.22485351
14:25:58.97,-0.08007813,-0.03930664,1.21801757
14:25:59.11,-0.08666993,-0.03295898,1.23095703
14:25:59.25,-0.08691407,-0.03417968,1.22070312
14:25:59.38,-0.07958984,-0.03759765,1.21704101
14:25:59.53,-0.08496094,-0.04272461,1.22875976
14:25:59.67,-0.08544922,-0.03955078,1.21582031
14:25:59.82,-0.08666993,-0.03735351,1.22314453
14:25:59.96,-0.13598632,-0.10668946,1.22875976
14:26:00.10,-0.08081055,-0.03710937,1.22802734
14:26:00.25,-0.08911133,-0.03320312,1.21508789
14:26:00.38,-0.08251954,-0.03271484,1.2290039
14:26:00.52,-0.08984375,-0.04321289,1.22070312
14:26:00.66,-0.08081055,-0.02880859,1.21655273
14:26:00.81,-0.08691407,-0.03076172,1.21875
14:26:00.95,-0.08618165,-0.03564453,1.21728515
14:26:01.09,-0.08618165,-0.03491211,1.22729492
14:26:01.24,-0.08300782,-0.04394531,1.22412109
14:26:01.37,-0.07739258,-0.03222656,1.22436523
14:26:01.51,-0.08886719,-0.03637695,1.21923828
14:26:01.65,-0.08984375,-0.03564453,1.21801757
14:26:01.80,-0.0793457,-0.03759765,1.23144531
14:26:01.94,-0.08251954,-0.03686523,1.22802734
14:26:02.09,-0.08447266,-0.04223633,1.21777343
14:26:02.23,-0.08154297,-0.04736328,1.21679687
14:26:02.36,-0.078125,-0.04150391,1.22045898
14:26:02.50,-0.0913086,-0.04174805,1.22143554
14:26:02.65,-0.08544922,-0.04077148,1.21264648
14:26:02.79,-0.07421875,-0.03320312,1.21850585
14:26:02.93,-0.0822754,-0.03759765,1.22387695
14:26:03.08,-0.0859375,-0.03857422,1.22290039
14:26:03.22,-0.08374024,-0.03686523,1.22387695
14:26:03.35,-0.08203125,-0.03540039,1.22607421
